id,full_name,stargazers_count,html_url,has_issues
28457823,freeCodeCamp/freeCodeCamp,415160,https://github.com/freeCodeCamp/freeCodeCamp,True
132750724,codecrafters-io/build-your-own-x,368060,https://github.com/codecrafters-io/build-your-own-x,True
21737465,sindresorhus/awesome,354636,https://github.com/sindresorhus/awesome,True
13491895,EbookFoundation/free-programming-books,354436,https://github.com/EbookFoundation/free-programming-books,True
54346799,public-apis/public-apis,334902,https://github.com/public-apis/public-apis,True
60493101,jwasham/coding-interview-university,313975,https://github.com/jwasham/coding-interview-university,True
85077558,kamranahmedse/developer-roadmap,313144,https://github.com/kamranahmedse/developer-roadmap,True
83222441,donnemartin/system-design-primer,295453,https://github.com/donnemartin/system-design-primer,True
177736533,996icu/996.ICU,270490,https://github.com/996icu/996.ICU,False
21289110,vinta/awesome-python,239287,https://github.com/vinta/awesome-python,False
10270250,facebook/react,234137,https://github.com/facebook/react,True
36633370,awesome-selfhosted/awesome-selfhosted,223408,https://github.com/awesome-selfhosted/awesome-selfhosted,True
88011908,practical-tutorials/project-based-learning,223353,https://github.com/practical-tutorials/project-based-learning,True
11730342,vuejs/vue,208655,https://github.com/vuejs/vue,True
63476337,TheAlgorithms/Python,199103,https://github.com/TheAlgorithms/Python,True
2325298,torvalds/linux,190950,https://github.com/torvalds/linux,False
126577260,trekhleb/javascript-algorithms,190840,https://github.com/trekhleb/javascript-algorithms,True
45717250,tensorflow/tensorflow,189052,https://github.com/tensorflow/tensorflow,True
14440270,getify/You-Dont-Know-JS,181605,https://github.com/getify/You-Dont-Know-JS,True
121395510,CyC2018/CS-Notes,179648,https://github.com/CyC2018/CS-Notes,True
19415064,ossu/computer-science,177813,https://github.com/ossu/computer-science,True
291137,ohmyzsh/ohmyzsh,177377,https://github.com/ohmyzsh/ohmyzsh,True
614765452,Significant-Gravitas/AutoGPT,174156,https://github.com/Significant-Gravitas/AutoGPT,True
2126244,twbs/bootstrap,171885,https://github.com/twbs/bootstrap,True
31792824,flutter/flutter,169550,https://github.com/flutter/flutter,True
41881900,microsoft/vscode,169548,https://github.com/microsoft/vscode,True
1062897,github/gitignore,165494,https://github.com/github/gitignore,False
123458551,jackfrued/Python-100-Days,163501,https://github.com/jackfrued/Python-100-Days,True
138393139,trimstray/the-book-of-secret-knowledge,162392,https://github.com/trimstray/the-book-of-secret-knowledge,False
35955666,jlevy/the-art-of-command-line,155424,https://github.com/jlevy/the-art-of-command-line,True
527591471,AUTOMATIC1111/stable-diffusion-webui,150663,https://github.com/AUTOMATIC1111/stable-diffusion-webui,True
132464395,Snailclimb/JavaGuide,149031,https://github.com/Snailclimb/JavaGuide,True
6498492,airbnb/javascript,146462,https://github.com/airbnb/javascript,True
155220641,huggingface/transformers,142432,https://github.com/huggingface/transformers,True
21540759,avelino/awesome-go,141202,https://github.com/avelino/awesome-go,True
658928958,ollama/ollama,135997,https://github.com/ollama/ollama,True
1039520,ytdl-org/youtube-dl,134969,https://github.com/ytdl-org/youtube-dl,True
70107786,vercel/next.js,130811,https://github.com/vercel/next.js,True
233472199,massgravel/Microsoft-Activation-Scripts,129459,https://github.com/massgravel/Microsoft-Activation-Scripts,True
241576270,labuladong/fucking-algorithm,127458,https://github.com/labuladong/fucking-algorithm,True
23096959,golang/go,126975,https://github.com/golang/go,True
62607227,yangshun/tech-interview-handbook,124961,https://github.com/yangshun/tech-interview-handbook,True
112507086,Chalarangelo/30-seconds-of-code,123281,https://github.com/Chalarangelo/30-seconds-of-code,True
574523116,f/awesome-chatgpt-prompts,122564,https://github.com/f/awesome-chatgpt-prompts,False
29028775,facebook/react-native,121381,https://github.com/facebook/react-native,True
111583593,Genymobile/scrcpy,120109,https://github.com/Genymobile/scrcpy,True
184456251,microsoft/PowerToys,116946,https://github.com/microsoft/PowerToys,True
9384267,electron/electron,116215,https://github.com/electron/electron,True
20580498,kubernetes/kubernetes,114178,https://github.com/kubernetes/kubernetes,True
14098069,justjavac/free-programming-books-zh_CN,113251,https://github.com/justjavac/free-programming-books-zh_CN,False
561730219,krahets/hello-algo,111260,https://github.com/krahets/hello-algo,True
27193779,nodejs/node,110459,https://github.com/nodejs/node,True
943149,d3/d3,110263,https://github.com/d3/d3,True
23088740,axios/axios,106632,https://github.com/axios/axios,True
307260205,yt-dlp/yt-dlp,106552,https://github.com/yt-dlp/yt-dlp,True
576201,mrdoob/three.js,105480,https://github.com/mrdoob/three.js,True
552661142,langchain-ai/langchain,104981,https://github.com/langchain-ai/langchain,True
20929025,microsoft/TypeScript,103835,https://github.com/microsoft/TypeScript,True
63537249,facebook/create-react-app,103135,https://github.com/facebook/create-react-app,True
724712,rust-lang/rust,102482,https://github.com/rust-lang/rust,True
133442384,denoland/deno,102474,https://github.com/denoland/deno,True
103633984,goldbergyoni/nodebestpractices,102246,https://github.com/goldbergyoni/nodebestpractices,True
58028038,521xueweihan/HelloGitHub,100805,https://github.com/521xueweihan/HelloGitHub,True
100060912,microsoft/terminal,97603,https://github.com/microsoft/terminal,True
24195339,angular/angular,97416,https://github.com/angular/angular,True
231283452,excalidraw/excalidraw,96597,https://github.com/excalidraw/excalidraw,True
15634981,godotengine/godot,95813,https://github.com/godotengine/godot,True
23083156,mui/material-ui,95262,https://github.com/mui/material-ui,True
908531752,deepseek-ai/DeepSeek-V3,95044,https://github.com/deepseek-ai/DeepSeek-V3,True
34526884,ant-design/ant-design,94159,https://github.com/ant-design/ant-design,True
32484381,ripienaar/free-for-dev,93320,https://github.com/ripienaar/free-for-dev,False
74791366,ryanmcdermott/clean-code-javascript,92728,https://github.com/ryanmcdermott/clean-code-javascript,True
48378947,fatedier/frp,92267,https://github.com/fatedier/frp,True
15204860,papers-we-love/papers-we-love,92145,https://github.com/papers-we-love/papers-we-love,True
157616880,iptv-org/iptv,91849,https://github.com/iptv-org/iptv,True
33614304,nvbn/thefuck,91314,https://github.com/nvbn/thefuck,True
22790488,iluwatar/java-design-patterns,91186,https://github.com/iluwatar/java-design-patterns,True
196701619,tauri-apps/tauri,91175,https://github.com/tauri-apps/tauri,True
55076063,Hack-with-Github/Awesome-Hacking,90886,https://github.com/Hack-with-Github/Awesome-Hacking,False
90796663,puppeteer/puppeteer,90267,https://github.com/puppeteer/puppeteer,True
626805178,langgenius/dify,89295,https://github.com/langgenius/dify,True
88464704,PanJiaChen/vue-element-admin,89055,https://github.com/PanJiaChen/vue-element-admin,True
65600975,pytorch/pytorch,88642,https://github.com/pytorch/pytorch,True
16408992,neovim/neovim,88376,https://github.com/neovim/neovim,True
919443098,deepseek-ai/DeepSeek-R1,88044,https://github.com/deepseek-ai/DeepSeek-R1,True
701547123,open-webui/open-webui,87607,https://github.com/open-webui/open-webui,True
311525798,microsoft/Web-Dev-For-Beginners,87111,https://github.com/microsoft/Web-Dev-For-Beginners,True
106017343,tailwindlabs/tailwindcss,86878,https://github.com/tailwindlabs/tailwindcss,True
101296881,mtdvio/every-programmer-should-know,86767,https://github.com/mtdvio/every-programmer-should-know,True
54173593,storybookjs/storybook,86296,https://github.com/storybookjs/storybook,True
299354207,rustdesk/rustdesk,86126,https://github.com/rustdesk/rustdesk,True
585146387,shadcn-ui/ui,84734,https://github.com/shadcn-ui/ui,True
612230,nvm-sh/nvm,83697,https://github.com/nvm-sh/nvm,True
4164482,django/django,83028,https://github.com/django/django,False
160919119,fastapi/fastapi,82870,https://github.com/fastapi/fastapi,True
172562475,florinpop17/app-ideas,82819,https://github.com/florinpop17/app-ideas,True
1181927,bitcoin/bitcoin,82757,https://github.com/bitcoin/bitcoin,True
612344730,ChatGPTNextWeb/NextChat,82472,https://github.com/ChatGPTNextWeb/NextChat,True
74293321,sveltejs/svelte,82099,https://github.com/sveltejs/svelte,True
63539055,jaywcjlove/awesome-mac,81669,https://github.com/jaywcjlove/awesome-mac,True
2561582,animate-css/animate.css,81512,https://github.com/animate-css/animate.css,True
5108051,opencv/opencv,81499,https://github.com/opencv/opencv,True
52631841,gothinkster/realworld,81396,https://github.com/gothinkster/realworld,True
20904437,gin-gonic/gin,81304,https://github.com/gin-gonic/gin,True
1863329,laravel/laravel,80490,https://github.com/laravel/laravel,False
214587193,supabase/supabase,80357,https://github.com/supabase/supabase,True
127988011,macrozheng/mall,79758,https://github.com/macrozheng/mall,True
537603333,openai/whisper,79404,https://github.com/openai/whisper,False
11180687,gohugoio/hugo,79254,https://github.com/gohugoio/hugo,True
26500787,tonsky/FiraCode,78614,https://github.com/tonsky/FiraCode,True
12888993,home-assistant/core,77864,https://github.com/home-assistant/core,True
26066727,mermaid-js/mermaid,77701,https://github.com/mermaid-js/mermaid,True
655806940,microsoft/generative-ai-for-beginners,77694,https://github.com/microsoft/generative-ai-for-beginners,True
612354784,ggml-org/llama.cpp,77652,https://github.com/ggml-org/llama.cpp,True
199570071,2dust/v2rayN,77620,https://github.com/2dust/v2rayN,True
51117837,tensorflow/models,77477,https://github.com/tensorflow/models,True
151834062,doocs/advanced-java,77366,https://github.com/doocs/advanced-java,True
357728969,oven-sh/bun,77257,https://github.com/oven-sh/bun,True
6296790,spring-projects/spring-boot,76710,https://github.com/spring-projects/spring-boot,True
32689863,3b1b/manim,76559,https://github.com/3b1b/manim,True
160640094,MisterBooo/LeetCodeAnimation,75793,https://github.com/MisterBooo/LeetCodeAnimation,True
3470471,FortAwesome/Font-Awesome,74882,https://github.com/FortAwesome/Font-Awesome,True
193215554,n8n-io/n8n,74779,https://github.com/n8n-io/n8n,True
47018239,DopplerHQ/awesome-interview-questions,74161,https://github.com/DopplerHQ/awesome-interview-questions,True
10744183,netdata/netdata,73975,https://github.com/netdata/netdata,True
14747598,typicode/json-server,73944,https://github.com/typicode/json-server,True
589831718,comfyanonymous/ComfyUI,73366,https://github.com/comfyanonymous/ComfyUI,True
212639071,bregman-arie/devops-exercises,73060,https://github.com/bregman-arie/devops-exercises,True
619959033,nomic-ai/gpt4all,72997,https://github.com/nomic-ai/gpt4all,True
44882201,MunGell/awesome-for-beginners,72900,https://github.com/MunGell/awesome-for-beginners,True
44571718,vuejs/awesome-vue,72744,https://github.com/vuejs/awesome-vue,True
278335273,anuraghazra/github-readme-stats,72350,https://github.com/anuraghazra/github-readme-stats,True
507775,elastic/elasticsearch,72247,https://github.com/elastic/elasticsearch,True
145553672,fighting41love/funNLP,72176,https://github.com/fighting41love/funNLP,True
257485422,vitejs/vite,71884,https://github.com/vitejs/vite,True
343965132,microsoft/ML-For-Beginners,71698,https://github.com/microsoft/ML-For-Beginners,True
693342566,ByteByteGoHq/system-design-101,71469,https://github.com/ByteByteGoHq/system-design-101,True
221981891,microsoft/playwright,71289,https://github.com/microsoft/playwright,True
203587744,hoppscotch/hoppscotch,70814,https://github.com/hoppscotch/hoppscotch,True
172953845,coder/code-server,70611,https://github.com/coder/code-server,True
80945428,nestjs/nest,70299,https://github.com/nestjs/nest,True
523379232,CompVis/stable-diffusion,70243,https://github.com/CompVis/stable-diffusion,True
243950408,Anduin2017/HowToCook,70125,https://github.com/Anduin2017/HowToCook,True
107111421,thedaviddias/Front-End-Checklist,69762,https://github.com/thedaviddias/Front-End-Checklist,True
7691631,moby/moby,69499,https://github.com/moby/moby,True
718741813,abi/screenshot-to-code,69419,https://github.com/abi/screenshot-to-code,True
596892,pallets/flask,69237,https://github.com/pallets/flask,True
13807606,junegunn/fzf,69182,https://github.com/junegunn/fzf,True
14712850,syncthing/syncthing,69137,https://github.com/syncthing/syncthing,True
1861458,hakimel/reveal.js,68638,https://github.com/hakimel/reveal.js,True
156018,redis/redis,68572,https://github.com/redis/redis,True
596115135,base/node,68524,https://github.com/base/node,True
71583602,Developer-Y/cs-video-courses,68453,https://github.com/Developer-Y/cs-video-courses,True
44838949,swiftlang/swift,68305,https://github.com/swiftlang/swift,True
616372661,binary-husky/gpt_academic,68091,https://github.com/binary-husky/gpt_academic,True
101138315,d2l-ai/d2l-zh,68083,https://github.com/d2l-ai/d2l-zh,False
22670857,enaqx/awesome-react,67515,https://github.com/enaqx/awesome-react,True
21872392,josephmisiti/awesome-machine-learning,67463,https://github.com/josephmisiti/awesome-machine-learning,True
15111821,grafana/grafana,67361,https://github.com/grafana/grafana,True
23357588,protocolbuffers/protobuf,67039,https://github.com/protocolbuffers/protobuf,True
382496361,louislam/uptime-kuma,66758,https://github.com/louislam/uptime-kuma,True
237159,expressjs/express,66675,https://github.com/expressjs/express,True
83999700,sdmg15/Best-websites-a-programmer-should-visit,66509,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,True
81598961,python/cpython,66129,https://github.com/python/cpython,True
43441403,strapi/strapi,65982,https://github.com/strapi/strapi,True
22887094,tesseract-ocr/tesseract,65894,https://github.com/tesseract-ocr/tesseract,True
246335987,ventoy/Ventoy,65859,https://github.com/ventoy/Ventoy,True
8843683,chartjs/Chart.js,65633,https://github.com/chartjs/Chart.js,True
39464018,apache/superset,65435,https://github.com/apache/superset,True
3678731,webpack/webpack,65169,https://github.com/webpack/webpack,True
147350463,leonardomso/33-js-concepts,64983,https://github.com/leonardomso/33-js-concepts,True
3638964,ansible/ansible,64608,https://github.com/ansible/ansible,True
71220757,swisskyrepo/PayloadsAllTheThings,64408,https://github.com/swisskyrepo/PayloadsAllTheThings,False
22067521,ocornut/imgui,64392,https://github.com/ocornut/imgui,True
81975372,kdn251/interviews,64056,https://github.com/kdn251/interviews,True
620936652,xtekky/gpt4free,63954,https://github.com/xtekky/gpt4free,True
191529732,lydiahallie/javascript-questions,63713,https://github.com/lydiahallie/javascript-questions,True
162998479,sherlock-project/sherlock,63448,https://github.com/sherlock-project/sherlock,True
13233158,obsproject/obs-studio,63288,https://github.com/obsproject/obs-studio,True
619859161,twitter/the-algorithm,63058,https://github.com/twitter/the-algorithm,True
455229168,immich-app/immich,62886,https://github.com/immich-app/immich,True
77213120,Eugeny/tabby,62851,https://github.com/Eugeny/tabby,True
33015583,keras-team/keras,62836,https://github.com/keras-team/keras,True
21935031,fffaraz/awesome-cpp,62791,https://github.com/fffaraz/awesome-cpp,True
26898879,awesomedata/awesome-public-datasets,62699,https://github.com/awesomedata/awesome-public-datasets,True
29207621,caddyserver/caddy,62665,https://github.com/caddyserver/caddy,True
468576060,openai/openai-cookbook,62637,https://github.com/openai/openai-cookbook,True
120538304,kelseyhightower/nocode,62385,https://github.com/kelseyhightower/nocode,True
331107018,FuelLabs/sway,62374,https://github.com/FuelLabs/sway,True
1334369,resume/resume.github.com,62341,https://github.com/resume/resume.github.com,True
9185792,apache/echarts,62300,https://github.com/apache/echarts,True
377496562,AppFlowy-IO/AppFlowy,61898,https://github.com/AppFlowy-IO/AppFlowy,True
557980,socketio/socket.io,61872,https://github.com/socketio/socket.io,True
3482588,danielmiessler/SecLists,61864,https://github.com/danielmiessler/SecLists,True
419347358,PKUFlyingPig/cs-self-learning,61765,https://github.com/PKUFlyingPig/cs-self-learning,True
843222,scikit-learn/scikit-learn,61648,https://github.com/scikit-learn/scikit-learn,True
18408635,chrislgarry/Apollo-11,61542,https://github.com/chrislgarry/Apollo-11,True
115478820,binhnguyennus/awesome-scalability,61287,https://github.com/binhnguyennus/awesome-scalability,False
63477660,TheAlgorithms/Java,61236,https://github.com/TheAlgorithms/Java,True
36535156,reduxjs/redux,61138,https://github.com/reduxjs/redux,True
