repo,number,state,created_at,merged_at,closed_at,additions,deletions,changed_files,description_length,comments,reviews,time_to_merge,time_to_close
freeCodeCamp/freeCodeCamp,59680,MERGED,2025-04-11T14:56:07Z,2025-04-11T16:51:01Z,2025-04-11T16:51:01Z,0,8,2,62,0,2,1.915,1.915
freeCodeCamp/freeCodeCamp,59672,MERGED,2025-04-10T21:59:13Z,2025-04-10T23:14:53Z,2025-04-10T23:14:53Z,1,1,1,799,0,2,1.261111111111111,1.261111111111111
freeCodeCamp/freeCodeCamp,59671,MERGED,2025-04-10T21:26:07Z,2025-04-10T22:45:28Z,2025-04-10T22:45:28Z,1,1,1,750,0,2,1.3225,1.3225
freeCodeCamp/freeCodeCamp,59669,MERGED,2025-04-10T18:05:26Z,2025-04-10T21:36:04Z,2025-04-10T21:36:04Z,1,1,1,902,4,2,3.5105555555555554,3.5105555555555554
freeCodeCamp/freeCodeCamp,59667,MERGED,2025-04-10T17:49:24Z,2025-04-10T19:13:10Z,2025-04-10T19:13:10Z,1,2,2,865,0,2,1.396111111111111,1.396111111111111
freeCodeCamp/freeCodeCamp,59662,MERGED,2025-04-10T11:26:32Z,2025-04-11T06:58:07Z,2025-04-11T06:58:07Z,5,0,2,1205,0,4,19.52638888888889,19.52638888888889
freeCodeCamp/freeCodeCamp,59659,MERGED,2025-04-10T09:21:57Z,2025-04-11T03:28:50Z,2025-04-11T03:28:51Z,5,5,1,789,0,4,18.114722222222223,18.114722222222223
freeCodeCamp/freeCodeCamp,59658,MERGED,2025-04-10T08:07:28Z,2025-04-10T15:06:47Z,2025-04-10T15:06:47Z,31,59,18,868,0,2,6.988611111111111,6.988611111111111
freeCodeCamp/freeCodeCamp,59657,MERGED,2025-04-10T07:23:11Z,2025-04-10T11:34:20Z,2025-04-10T11:34:20Z,0,171,3,825,0,6,4.185833333333333,4.185833333333333
freeCodeCamp/freeCodeCamp,59656,MERGED,2025-04-10T03:23:59Z,2025-04-10T09:12:21Z,2025-04-10T09:12:21Z,1,1,1,750,0,2,5.806111111111111,5.806111111111111
freeCodeCamp/freeCodeCamp,59655,MERGED,2025-04-10T03:10:06Z,2025-04-10T09:08:48Z,2025-04-10T09:08:48Z,1,1,1,750,0,2,5.9783333333333335,5.9783333333333335
freeCodeCamp/freeCodeCamp,59654,MERGED,2025-04-10T03:06:40Z,2025-04-10T09:11:45Z,2025-04-10T09:11:45Z,1,1,1,750,0,2,6.084722222222222,6.084722222222222
freeCodeCamp/freeCodeCamp,59652,MERGED,2025-04-09T20:10:24Z,2025-04-10T09:51:55Z,2025-04-10T09:51:55Z,2,2,1,750,0,2,13.691944444444445,13.691944444444445
freeCodeCamp/freeCodeCamp,59649,MERGED,2025-04-09T13:52:19Z,2025-04-10T13:59:41Z,2025-04-10T13:59:41Z,1,0,1,1197,0,2,24.122777777777777,24.122777777777777
freeCodeCamp/freeCodeCamp,59647,CLOSED,2025-04-09T10:13:30Z,,2025-04-09T13:45:30Z,3,1,1,263,5,3,,3.533333333333333
freeCodeCamp/freeCodeCamp,59643,MERGED,2025-04-08T18:04:57Z,2025-04-09T15:44:24Z,2025-04-09T15:44:24Z,1,1,1,750,0,2,21.6575,21.6575
freeCodeCamp/freeCodeCamp,59642,MERGED,2025-04-08T15:46:05Z,2025-04-09T04:18:14Z,2025-04-09T04:18:14Z,1,1,1,0,2,2,12.535833333333333,12.535833333333333
freeCodeCamp/freeCodeCamp,59636,MERGED,2025-04-08T11:37:17Z,2025-04-08T16:08:36Z,2025-04-08T16:08:36Z,43,62,58,360,0,2,4.521944444444444,4.521944444444444
freeCodeCamp/freeCodeCamp,59630,MERGED,2025-04-08T06:32:28Z,2025-04-10T18:30:48Z,2025-04-10T18:30:48Z,8,3,2,3400,3,2,59.97222222222222,59.97222222222222
freeCodeCamp/freeCodeCamp,59629,MERGED,2025-04-08T01:18:09Z,2025-04-08T09:39:48Z,2025-04-08T09:39:49Z,1,1,1,460,0,2,8.360833333333334,8.360833333333334
freeCodeCamp/freeCodeCamp,59627,MERGED,2025-04-07T20:28:18Z,2025-04-09T17:21:00Z,2025-04-09T17:21:00Z,4,4,3,750,1,3,44.87833333333333,44.87833333333333
freeCodeCamp/freeCodeCamp,59626,MERGED,2025-04-07T18:15:54Z,2025-04-08T17:25:39Z,2025-04-08T17:25:40Z,4802,31,31,736,1,2,23.1625,23.1625
freeCodeCamp/freeCodeCamp,59625,MERGED,2025-04-07T18:01:52Z,2025-04-10T13:55:03Z,2025-04-10T13:55:03Z,25,25,1,750,2,5,67.88638888888889,67.88638888888889
freeCodeCamp/freeCodeCamp,59623,MERGED,2025-04-07T17:29:52Z,2025-04-07T20:05:04Z,2025-04-07T20:05:04Z,1,1,1,779,2,2,2.5866666666666664,2.5866666666666664
freeCodeCamp/freeCodeCamp,59618,MERGED,2025-04-07T14:18:15Z,2025-04-07T17:42:40Z,2025-04-07T17:42:40Z,1,1,1,47,0,2,3.4069444444444446,3.4069444444444446
freeCodeCamp/freeCodeCamp,59617,MERGED,2025-04-07T12:26:25Z,2025-04-07T15:27:45Z,2025-04-07T15:27:45Z,2246,1516,20,45,0,2,3.022222222222222,3.022222222222222
freeCodeCamp/freeCodeCamp,59616,MERGED,2025-04-07T12:19:10Z,2025-04-10T14:21:44Z,2025-04-10T14:21:44Z,45,14,3,915,2,2,74.04277777777777,74.04277777777777
freeCodeCamp/freeCodeCamp,59615,MERGED,2025-04-07T10:58:27Z,2025-04-10T15:03:45Z,2025-04-10T15:03:45Z,496,12,34,737,0,7,76.08833333333334,76.08833333333334
freeCodeCamp/freeCodeCamp,59614,MERGED,2025-04-07T10:19:07Z,2025-04-08T04:49:01Z,2025-04-08T04:49:01Z,1,1,1,675,4,2,18.498333333333335,18.498333333333335
freeCodeCamp/freeCodeCamp,59612,MERGED,2025-04-07T00:34:46Z,2025-04-07T07:48:08Z,2025-04-07T07:48:08Z,1,1,1,750,0,2,7.222777777777778,7.222777777777778
freeCodeCamp/freeCodeCamp,59610,MERGED,2025-04-06T17:09:22Z,2025-04-08T10:27:28Z,2025-04-08T10:27:28Z,11,1,1,1982,5,4,41.30166666666667,41.30166666666667
freeCodeCamp/freeCodeCamp,59602,MERGED,2025-04-04T16:38:25Z,2025-04-07T15:34:14Z,2025-04-07T15:34:14Z,427,10,5,799,0,2,70.93027777777777,70.93027777777777
freeCodeCamp/freeCodeCamp,59599,MERGED,2025-04-04T11:46:04Z,2025-04-10T15:14:42Z,2025-04-10T15:14:42Z,129,68,2,848,1,2,147.47722222222222,147.47722222222222
freeCodeCamp/freeCodeCamp,59598,MERGED,2025-04-04T11:45:01Z,2025-04-09T08:49:26Z,2025-04-09T08:49:26Z,37,23,8,1052,0,2,117.0736111111111,117.0736111111111
freeCodeCamp/freeCodeCamp,59591,MERGED,2025-04-04T05:38:54Z,2025-04-09T03:22:28Z,2025-04-09T03:22:28Z,2,0,1,974,0,2,117.72611111111111,117.72611111111111
freeCodeCamp/freeCodeCamp,59589,MERGED,2025-04-03T23:55:49Z,2025-04-07T07:07:38Z,2025-04-07T07:07:38Z,6,6,1,750,0,2,79.19694444444444,79.19694444444444
freeCodeCamp/freeCodeCamp,59584,MERGED,2025-04-03T20:37:33Z,2025-04-08T07:35:55Z,2025-04-08T07:35:55Z,59,55,1,1439,0,4,106.97277777777778,106.97277777777778
freeCodeCamp/freeCodeCamp,59583,MERGED,2025-04-03T20:18:41Z,2025-04-07T08:14:36Z,2025-04-07T08:14:36Z,10,10,1,750,0,4,83.93194444444444,83.93194444444444
freeCodeCamp/freeCodeCamp,59578,MERGED,2025-04-03T17:00:11Z,2025-04-07T06:58:36Z,2025-04-07T06:58:36Z,20,20,1,750,0,7,85.97361111111111,85.97361111111111
freeCodeCamp/freeCodeCamp,59576,MERGED,2025-04-03T15:52:45Z,2025-04-03T19:14:48Z,2025-04-03T19:14:48Z,4,1,2,1356,0,2,3.3675,3.3675
