repo,number,state,created_at,merged_at,closed_at,additions,deletions,changed_files,description_length,comments,reviews,time_to_merge,time_to_close
freeCodeCamp/freeCodeCamp,9469,MERGED,2016-06-30T16:04:23Z,2016-09-28T19:14:34Z,2016-09-28T19:14:34Z,352,84,8,472,31,1,2163.1697222222224,2163.1697222222224
freeCodeCamp/freeCodeCamp,9660,CLOSED,2016-07-10T13:37:54Z,,2017-09-02T02:09:24Z,528,329,17,770,42,13,,10044.525
freeCodeCamp/freeCodeCamp,9793,MERGED,2016-07-19T22:59:37Z,2016-07-26T11:43:49Z,2016-07-26T11:43:49Z,80,0,1,2238,8,1,156.73666666666668,156.73666666666668
freeCodeCamp/freeCodeCamp,10341,MERGED,2016-08-25T12:54:35Z,2016-10-11T19:35:36Z,2016-10-11T19:35:36Z,1,1,1,2457,17,1,1134.683611111111,1134.683611111111
freeCodeCamp/freeCodeCamp,10390,CLOSED,2016-08-30T03:38:10Z,,2016-09-28T18:31:56Z,77,0,1,2027,5,1,,710.8961111111112
freeCodeCamp/freeCodeCamp,10503,MERGED,2016-09-07T12:31:43Z,2016-09-26T20:01:03Z,2016-09-26T20:01:03Z,1,1,1,2026,3,1,463.4888888888889,463.4888888888889
freeCodeCamp/freeCodeCamp,10711,MERGED,2016-09-12T20:32:19Z,2016-09-28T20:54:27Z,2016-09-28T20:54:27Z,48,11,1,0,5,4,384.3688888888889,384.3688888888889
freeCodeCamp/freeCodeCamp,10751,MERGED,2016-09-15T21:54:30Z,2016-10-01T04:11:29Z,2016-10-01T04:11:29Z,8,4,3,855,3,2,366.28305555555556,366.28305555555556
freeCodeCamp/freeCodeCamp,10762,CLOSED,2016-09-16T11:45:09Z,,2016-09-16T18:57:10Z,1,1,1,195,3,1,,7.200277777777778
freeCodeCamp/freeCodeCamp,10775,MERGED,2016-09-17T03:06:51Z,2016-09-17T10:48:20Z,2016-09-17T10:48:20Z,1,1,1,1900,1,1,7.691388888888889,7.691388888888889
freeCodeCamp/freeCodeCamp,10811,MERGED,2016-09-19T18:20:37Z,2016-10-14T21:27:49Z,2016-10-14T21:27:49Z,1,0,1,1973,22,3,603.12,603.12
freeCodeCamp/freeCodeCamp,10818,MERGED,2016-09-19T23:50:54Z,2016-09-20T07:02:46Z,2016-09-20T07:02:46Z,2230,2079,1,2419,1,2,7.197777777777778,7.197777777777778
freeCodeCamp/freeCodeCamp,10823,MERGED,2016-09-20T17:27:23Z,2016-10-10T04:44:44Z,2016-10-10T04:44:44Z,7,1,2,473,36,1,467.2891666666667,467.2891666666667
freeCodeCamp/freeCodeCamp,10824,MERGED,2016-09-20T17:49:14Z,2016-10-26T15:09:15Z,2016-10-26T15:09:15Z,73,0,3,2316,23,11,861.3336111111112,861.3336111111112
freeCodeCamp/freeCodeCamp,10853,MERGED,2016-09-22T12:34:52Z,2016-10-07T09:39:52Z,2016-10-07T09:39:52Z,1,1,1,190,10,2,357.0833333333333,357.0833333333333
freeCodeCamp/freeCodeCamp,10854,MERGED,2016-09-22T12:41:20Z,2016-10-16T21:00:33Z,2016-10-16T21:00:33Z,1,0,1,1759,4,2,584.3202777777777,584.3202777777777
freeCodeCamp/freeCodeCamp,10860,MERGED,2016-09-22T15:15:03Z,2016-09-23T14:36:52Z,2016-09-23T14:36:52Z,1,1,1,1906,7,3,23.363611111111112,23.363611111111112
freeCodeCamp/freeCodeCamp,10866,CLOSED,2016-09-23T00:31:38Z,,2016-11-04T15:11:30Z,250,3,6,2312,12,4,,1022.6644444444445
freeCodeCamp/freeCodeCamp,10886,MERGED,2016-09-23T17:03:07Z,2016-09-26T18:03:22Z,2016-09-26T18:03:22Z,13,5,2,139,0,3,73.00416666666666,73.00416666666666
freeCodeCamp/freeCodeCamp,10918,MERGED,2016-09-26T04:18:13Z,2016-09-26T19:55:37Z,2016-09-26T19:55:37Z,563,488,3,1906,6,1,15.623333333333333,15.623333333333333
freeCodeCamp/freeCodeCamp,10929,MERGED,2016-09-26T21:24:23Z,2016-10-16T21:10:55Z,2016-10-16T21:10:55Z,5,1,1,1896,8,1,479.77555555555557,479.77555555555557
freeCodeCamp/freeCodeCamp,10950,MERGED,2016-09-28T03:05:27Z,2016-09-28T15:13:21Z,2016-09-28T15:13:21Z,8,7,2,44,0,1,12.131666666666666,12.131666666666666
freeCodeCamp/freeCodeCamp,10957,MERGED,2016-09-28T14:48:27Z,2016-10-27T15:03:28Z,2016-10-27T15:03:28Z,109,27,2,2322,22,15,696.2502777777778,696.2502777777778
freeCodeCamp/freeCodeCamp,10975,MERGED,2016-09-29T10:07:26Z,2016-09-29T18:29:04Z,2016-09-29T18:29:04Z,1,1,1,2319,2,1,8.360555555555555,8.360555555555555
freeCodeCamp/freeCodeCamp,10993,MERGED,2016-09-30T02:49:10Z,2016-09-30T07:05:49Z,2016-09-30T07:05:49Z,287,159,1,1783,0,1,4.2775,4.2775
freeCodeCamp/freeCodeCamp,10995,MERGED,2016-09-30T05:26:17Z,2016-09-30T07:11:19Z,2016-09-30T07:11:19Z,1,1,1,1939,2,1,1.7505555555555556,1.7505555555555556
freeCodeCamp/freeCodeCamp,11001,CLOSED,2016-09-30T17:36:45Z,,2016-10-01T05:52:02Z,131,99,1,2132,3,1,,12.254722222222222
freeCodeCamp/freeCodeCamp,11028,MERGED,2016-10-02T23:20:19Z,2016-10-04T20:02:02Z,2016-10-04T20:02:02Z,53,0,1,2018,5,3,44.695277777777775,44.695277777777775
freeCodeCamp/freeCodeCamp,11032,MERGED,2016-10-03T04:12:00Z,2016-10-03T13:58:23Z,2016-10-03T13:58:23Z,1,1,1,1943,1,1,9.773055555555555,9.773055555555555
freeCodeCamp/freeCodeCamp,11058,MERGED,2016-10-04T23:31:03Z,2017-01-27T05:07:22Z,2017-01-27T05:07:22Z,770,359,25,0,50,1,2741.6052777777777,2741.6052777777777
freeCodeCamp/freeCodeCamp,11087,MERGED,2016-10-07T05:11:20Z,2016-10-09T15:07:16Z,2016-10-09T15:07:16Z,42,39,7,111,0,1,57.93222222222222,57.93222222222222
freeCodeCamp/freeCodeCamp,11100,MERGED,2016-10-07T19:51:03Z,2016-10-12T17:49:19Z,2016-10-12T17:49:20Z,151,90,1,1137,4,2,117.97111111111111,117.97111111111111
freeCodeCamp/freeCodeCamp,11121,MERGED,2016-10-09T09:43:09Z,2016-10-09T11:29:34Z,2016-10-09T11:29:34Z,2,2,1,69,3,2,1.773611111111111,1.773611111111111
freeCodeCamp/freeCodeCamp,11126,MERGED,2016-10-09T11:42:00Z,2016-10-09T15:03:34Z,2016-10-09T15:03:35Z,2,2,1,1916,4,3,3.3594444444444442,3.3594444444444442
freeCodeCamp/freeCodeCamp,11138,MERGED,2016-10-10T03:22:53Z,2016-10-10T06:58:43Z,2016-10-10T06:58:43Z,2,2,1,984,2,1,3.5972222222222223,3.5972222222222223
freeCodeCamp/freeCodeCamp,11144,MERGED,2016-10-10T09:00:29Z,2016-10-10T15:23:43Z,2016-10-10T15:23:43Z,2,2,1,2169,0,1,6.387222222222222,6.387222222222222
freeCodeCamp/freeCodeCamp,11148,MERGED,2016-10-10T20:40:31Z,2016-10-12T05:17:26Z,2016-10-12T05:17:26Z,1,1,1,2074,8,1,32.61527777777778,32.61527777777778
freeCodeCamp/freeCodeCamp,11166,CLOSED,2016-10-11T22:48:08Z,,2016-10-13T03:27:52Z,4,8,1,2154,6,2,,28.662222222222223
freeCodeCamp/freeCodeCamp,11172,MERGED,2016-10-12T14:30:53Z,2016-10-15T12:27:01Z,2016-10-15T12:27:01Z,1,1,1,2840,8,1,69.93555555555555,69.93555555555555
freeCodeCamp/freeCodeCamp,11190,MERGED,2016-10-13T19:05:43Z,2016-10-14T17:57:19Z,2016-10-14T17:57:19Z,21,0,1,1901,6,7,22.86,22.86
freeCodeCamp/freeCodeCamp,11197,MERGED,2016-10-14T09:07:16Z,2016-10-14T20:29:49Z,2016-10-14T20:29:49Z,1,1,1,2008,2,1,11.375833333333333,11.375833333333333
freeCodeCamp/freeCodeCamp,11202,CLOSED,2016-10-14T15:37:24Z,,2016-10-14T23:47:01Z,71,11,6,1998,7,1,,8.160277777777777
freeCodeCamp/freeCodeCamp,11209,MERGED,2016-10-14T20:59:43Z,2016-10-14T23:14:17Z,2016-10-14T23:14:17Z,2,2,1,1971,1,1,2.242777777777778,2.242777777777778
freeCodeCamp/freeCodeCamp,11211,MERGED,2016-10-14T21:30:20Z,2016-10-14T23:14:53Z,2016-10-14T23:14:53Z,1,1,1,2360,1,1,1.7425,1.7425
freeCodeCamp/freeCodeCamp,11219,MERGED,2016-10-15T14:16:53Z,2016-11-04T15:26:42Z,2016-11-04T15:26:42Z,12,36,4,0,10,1,481.1636111111111,481.1636111111111
freeCodeCamp/freeCodeCamp,11225,MERGED,2016-10-15T21:40:14Z,2016-10-19T19:11:04Z,2016-10-19T19:11:04Z,1,0,1,2056,11,2,93.51388888888889,93.51388888888889
freeCodeCamp/freeCodeCamp,11236,CLOSED,2016-10-16T13:56:12Z,,2016-10-17T17:06:13Z,45,6,5,1750,1,1,,27.166944444444443
freeCodeCamp/freeCodeCamp,11244,MERGED,2016-10-17T07:42:34Z,2016-10-21T05:23:43Z,2016-10-21T05:23:43Z,4,7,1,2530,4,1,93.68583333333333,93.68583333333333
freeCodeCamp/freeCodeCamp,11251,MERGED,2016-10-17T20:44:52Z,2016-12-15T20:59:07Z,2016-12-15T20:59:07Z,146,90,12,1986,24,28,1416.2375,1416.2375
freeCodeCamp/freeCodeCamp,11253,MERGED,2016-10-17T22:44:12Z,2016-12-05T23:41:28Z,2016-12-05T23:41:28Z,176,18,9,1970,28,30,1176.9544444444443,1176.9544444444443
freeCodeCamp/freeCodeCamp,11290,MERGED,2016-10-20T06:02:55Z,2016-10-20T15:51:46Z,2016-10-20T15:51:46Z,1,1,1,1959,0,2,9.814166666666667,9.814166666666667
freeCodeCamp/freeCodeCamp,11306,MERGED,2016-10-21T15:03:57Z,2016-11-22T21:04:23Z,2016-11-22T21:04:23Z,1,1,1,2055,5,4,774.0072222222223,774.0072222222223
freeCodeCamp/freeCodeCamp,11308,MERGED,2016-10-21T16:12:04Z,2016-10-24T09:28:31Z,2016-10-24T09:28:31Z,4,4,1,1962,4,5,65.27416666666667,65.27416666666667
freeCodeCamp/freeCodeCamp,11318,CLOSED,2016-10-22T02:20:54Z,,2017-01-02T02:17:35Z,1,1,1,2319,15,9,,1727.9447222222223
freeCodeCamp/freeCodeCamp,11322,MERGED,2016-10-22T19:14:23Z,2017-01-07T21:42:39Z,2017-01-07T21:42:39Z,99,39,6,1955,15,10,1850.4711111111112,1850.4711111111112
freeCodeCamp/freeCodeCamp,11327,MERGED,2016-10-22T23:09:11Z,2016-10-26T07:13:57Z,2016-10-26T07:13:57Z,9,0,1,1671,7,6,80.07944444444445,80.07944444444445
freeCodeCamp/freeCodeCamp,11353,MERGED,2016-10-24T13:52:44Z,2016-10-27T12:32:14Z,2016-10-27T12:32:14Z,2,0,1,1939,8,3,70.65833333333333,70.65833333333333
freeCodeCamp/freeCodeCamp,11359,MERGED,2016-10-24T23:18:18Z,2016-10-27T12:36:58Z,2016-10-27T12:36:58Z,1,1,1,2068,3,4,61.31111111111111,61.31111111111111
freeCodeCamp/freeCodeCamp,11361,CLOSED,2016-10-25T03:22:26Z,,2016-11-05T23:50:23Z,1,1,1,5802,14,1,,284.4658333333333
freeCodeCamp/freeCodeCamp,11363,MERGED,2016-10-25T06:49:01Z,2016-10-27T22:25:40Z,2016-10-27T22:25:40Z,1,0,1,2150,3,3,63.61083333333333,63.61083333333333
freeCodeCamp/freeCodeCamp,11366,MERGED,2016-10-25T10:03:58Z,2016-10-27T16:54:16Z,2016-10-27T16:54:16Z,4,4,1,2052,1,2,54.83833333333333,54.83833333333333
freeCodeCamp/freeCodeCamp,11371,MERGED,2016-10-25T17:02:02Z,2016-10-27T15:00:42Z,2016-10-27T15:00:43Z,8,5,1,2199,6,6,45.977777777777774,45.977777777777774
freeCodeCamp/freeCodeCamp,11377,MERGED,2016-10-26T04:23:37Z,2016-10-27T13:11:20Z,2016-10-27T13:11:20Z,10,0,1,2025,3,2,32.79527777777778,32.79527777777778
freeCodeCamp/freeCodeCamp,11425,MERGED,2016-10-28T08:23:52Z,2016-11-01T20:00:16Z,2016-11-01T20:00:16Z,13,0,2,1902,17,5,107.60666666666667,107.60666666666667
freeCodeCamp/freeCodeCamp,11429,MERGED,2016-10-28T15:15:03Z,2016-10-28T18:28:59Z,2016-10-28T18:28:59Z,1,1,1,320,0,7,3.232222222222222,3.232222222222222
freeCodeCamp/freeCodeCamp,11446,MERGED,2016-10-29T12:40:28Z,2016-11-22T21:08:14Z,2016-11-22T21:08:14Z,7,7,1,2220,6,8,584.4627777777778,584.4627777777778
freeCodeCamp/freeCodeCamp,11467,MERGED,2016-10-30T20:11:29Z,2016-10-31T09:31:18Z,2016-10-31T09:31:18Z,0,5174,34,114,0,1,13.330277777777777,13.330277777777777
freeCodeCamp/freeCodeCamp,11469,MERGED,2016-10-30T20:38:59Z,2016-10-31T09:50:37Z,2016-10-31T09:50:37Z,6,0,1,1886,7,1,13.193888888888889,13.193888888888889
freeCodeCamp/freeCodeCamp,11472,MERGED,2016-10-30T23:43:10Z,2016-11-04T13:11:37Z,2016-11-04T13:11:37Z,10,0,1,2015,3,7,109.47416666666666,109.47416666666666
freeCodeCamp/freeCodeCamp,11474,MERGED,2016-10-31T02:21:27Z,2017-02-27T23:04:00Z,2017-02-27T23:04:00Z,50,85,15,2258,23,14,2876.7091666666665,2876.7091666666665
